Gene	x	y	cluster
STAG3L5P-PVRIG2P-PILRB	-10.4218971963791	11.4847555646925	1
RP9P	0.881787737246207	-7.42615126723341	2
WASH2P	-10.6688951890066	8.96891093978846	1
MIR3911	7.10710841752389	-0.613342231764843	2
RPL13AP5	-7.09598399281962	5.34348066438517	3
PI4KAP1	-9.628709434892	11.5824319288964	4
PFN1P2	-13.6057904277798	7.10497313822755	1
NBPF8	-8.2365514069849	7.13828495310335	1
ROCK1P1	-14.0923030165175	7.52865523795631	1
SMG1P7	-5.48974972443567	9.59902981614641	4
RRN3P3	-13.7248118809288	5.71636792059853	1
GLUD1P3	-3.20182464965619	10.2393372882763	4
DSTNP2	8.00729259143094	-2.33205604916222	5
PPIEL	1.47110538345373	-8.48089228037933	2
ACTG1P17	-11.9254742130286	7.54593213529459	1
TPM3P9	-12.4226452518295	10.4121644895407	1
ZNF542P	-6.74731280956055	7.11928640629683	6
GOLGA2P5	-4.85378111477952	3.78620681969075	3
FAM21EP	-11.9399381651739	8.11480549629942	1
DPY19L2P4	-0.0649964156680532	9.39002975201977	3
MRPS31P5	-4.85074095203976	7.74296180887165	7
GTF2IP4	-11.4713734260421	8.01918155834596	1
SUGT1P3	-13.7404628984341	5.75606455063417	1
RPLP0P2	-4.25243285582499	4.00837658291446	3
TMEM191A	-10.7218502081835	14.5849831410302	8
MIR4292	0.339734636356426	-3.81040736133277	1
SBDSP1	-10.0480286513682	7.19819921640312	1
MSL3P1	-10.7531316987175	8.07825718751947	1
AFG3L1P	-3.79481857437548	11.5611731951798	4
CFL1P1	-4.86643670980872	10.8006095643995	1
NSUN5P1	-9.60644172412442	11.6704017917693	1
BAG3	-5.35358206231514	0.318065837614988	3
PXMP4	-6.35187092818616	10.9044961362249	4
PXK	6.02230596528017	4.98620967040593	7
PUS7L	11.4161701028947	-4.79905695673749	5
PUM2	15.7349718477584	-3.83755083006331	5
PTX3	-14.2337902515359	1.3360977320978	9
PTPRU	0.792913966360617	3.92000367752426	3
SEMA6A	6.46764022913401	3.24535945578948	7
PTPRS	19.4269269561473	-5.12852865168403	10
PTPRO	20.2865371070531	-3.54689364689662	10
PTPRN2	19.8229569412233	-3.09057313563988	10
PTPRG	20.1480124198335	-2.67735052523447	10
PTPRE	15.6167811335544	0.565356133484024	10
EIF2D	-4.38927823421532	9.43054490654844	4
PMFBP1	-1.21765068081442	2.50286086663672	3
SMC4	-16.5929107775945	-0.540009666979482	11
PTPN4	18.0624186050564	-4.1622098034855	10
PTPN21	1.1638160053134	-6.33914435864955	2
PTPDC1	7.91881449096023	-4.27859680379032	2
PTPA	-12.20218250262	13.4458326703482	4
ZNF567	-3.97027496840791	9.75470413798129	9
PTP4A2	1.35651136192875	12.7264120715967	12
TIPARP	-0.987990547998849	4.89451315384216	3
PTP4A1	-8.2528939513262	0.606011765840429	13
PTMA	-8.81223194223053	-8.96540846590923	14
PTK2B	15.472974312531	-9.04472516625668	10
ITGA6	3.62270130969922	2.0829475039541	3
MERTK	2.55137904964147	3.19020407311265	3
PTGIS	-2.85388201882656	3.65604784508098	3
KCNQ1OT1	14.5831020395658	-2.04875085784968	5
HNRNPC	13.7977808496652	-3.81268587041495	5
PTGES2	-7.55896218316606	-2.68135886950351	15
PTGES	-15.1560432322112	5.57771036882645	1
PTDSS2	1.98662462977536	-10.8353812271845	2
PTAR1	4.64123294587343	-1.0458836488026	16
FURIN	-9.03195179309601	11.2636923149244	6
PSPC1	16.0578271295873	-4.06943685897433	5
PSMG4	0.745516632432247	-7.12477541449372	2
PSMG2	8.3846009159754	-4.9837286040584	14
PSMF1	4.69183745392069	-7.67572836065775	2
PSME4	13.8581438418511	-0.938622652312975	5
PSME3	-7.24407585335988	9.27660082163873	6
PSME2	-12.752931249826	-0.700300291159454	9
PSMD5	2.38755687022342	-7.1532762546878	2
PLEKHG3	-4.36771570318427	2.36600551103582	7
PSMD4	-5.05587084101171	-6.63095004804865	17
PSMD13	-1.94790923590254	-6.72095603323251	2
PSMC3IP	-14.4446536998905	5.48562982207655	11
TENM1	8.2576391743331	0.902571858034185	10
HS6ST2	8.03294035260142	-0.0439569987705285	8
PSMB5	-8.73542861822763	-6.35866321202646	17
PSMB4	-10.6095253067136	-3.31574015838274	9
KLHL35	-8.95033328381425	4.26289931307967	6
PSMA3-AS1	1.46421670380854	13.3959867316805	2
GPR150	-13.8002838336503	4.87327370867663	1
PSIP1	12.8125404913378	-3.78290130131529	5
SELENOI	7.14747221231929	-5.87724594988213	5
PRSS53	-11.8216004465065	10.2612424128484	1
AP3S2	5.76965035671386	-7.51268549756802	5
RAB22A	3.67701394181619	-6.13680368310364	2
PRRT4	-5.13555446128683	4.26084319495758	3
PRRT2	0.964732364030079	-11.8820375176138	2
PRRC2A	-1.22119291162526	-9.34711124986304	2
TCEAL6	-7.76727706836277	-5.10511102326568	9
PPP5C	2.59071527702531	-9.52939034696015	2
NRAS	-17.3362646814419	5.4333360235982	18
PRR14	-9.63982208526094	11.7800466873383	4
PRR13	-11.3322090155114	-0.486652174175155	9
PRPF4B	10.2946223863888	-4.82977074071148	14
PRPF40A	10.2193794754918	-5.72604536118873	5
PROX1	5.8301090770943	2.13949918926173	7
PROSER2	-3.52355472064769	3.80746169247485	3
PIGN	10.6585298004284	-5.24927416461854	5
SLC16A4	-8.46515442572755	8.22542422877723	9
PRMT7	3.74654453038822	-9.63555267997904	2
PRMT6	-11.6451146168092	3.49789101208151	6
PRMT2	12.1232183496193	-12.1381357609966	8
VANGL2	-7.52348982889505	3.22005624902105	3
PLA2G12A	6.22490242646276	-6.40111929747847	2
PRKRA	6.10174391647211	-5.68884956535994	2
PRKD1	18.7154911890278	-0.52193252009607	10
PRKCQ-AS1	-4.04898281754645	1.88822014926723	7
PRKCH	5.63995311488371	-0.243528425176237	2
PCMT1	10.26632484158	-4.53935574869805	14
PRKCE	19.2435606179797	-3.30957035397917	10
PRKCA	18.360888686549	-0.715671378165105	10
PRKAR2B	15.4151446420274	-8.41716515125977	19
PRKACB	18.4071012233564	-2.15787713652922	10
PRKACA	-1.39474347657073	-8.71493719503953	2
PRKAB2	-2.2699335902867	8.79776658185943	2
PRKAB1	-8.52400897324965	9.63707180985898	6
RUNDC3B	17.5509003637156	-4.83813995282778	5
PIP5K1A	12.1341178887581	-8.66691291852523	19
PRELID1	-8.09144854677123	-4.14109160027281	15
NBPF25P	-7.17067023634185	5.70439691236575	1
PRDM6	1.37212850669654	-3.65646379418578	2
RFXAP	2.66989540084872	-6.23570021919233	2
PRDM2	16.039747828564	-6.81038282485918	5
PRDM15	-4.16262682072929	12.1702752467087	4
BRAT1	-7.38219299315155	13.3886022486908	4
CAV2	-1.20917773493959	0.601547097213191	3
TEX26	-2.2153323228725	3.37527663744211	3
EDIL3	19.3462851613921	-0.897105258168527	10
PPRC1	-8.71158615691341	10.5677512155486	6
PPP4R3A	7.49092516464976	-7.08568579580729	19
PPP3CB	15.3123783634679	-4.91681331191863	5
CKAP5	10.6964226992893	-7.01164512766671	5
PPP2R5C	15.4351948467012	-6.45848966838349	5
PPP2R5A	3.63829953395731	-1.56829090256139	7
PPP2R3A	9.7282775347827	-3.00919005139131	5
PPP2R2B	19.6160084590033	-1.69777988778655	10
PPP2R1B	0.297972505275205	5.7164671722005	3
DDRGK1	1.88826133449424	-13.1859602444549	8
PPP1R3D	-17.2662458098698	5.60671610164077	18
PPP1R37	-13.3656538162614	11.7403232075777	4
TMEM131	14.7762320834079	-4.25698429421154	5
ZNF239	-7.35216285527321	7.81788438143849	9
PPP1R35	-8.57761087229664	13.5102988541809	15
ST6GAL2	11.8135939184515	1.16138059496403	10
PPP1R16B	17.8204100725575	-7.61336073806073	10
PPP1R13B	15.3033326695195	-6.5712047845843	5
PPP1CA	-13.1383367119888	-1.54721270834457	9
PPM1N	-11.7023984607741	8.27949309038116	1
PPM1M	-15.4659730202048	7.41484896682658	1
PPM1J	-6.84133129995874	4.16494683102468	3
BLVRB	-12.1849546485981	-1.78489284157321	9
PPM1E	19.620468727555	-4.52996034298576	10
ATG10	11.6373219787813	-4.86697568712655	5
RWDD2A	-8.67937090666962	5.63581042935457	9
NEO1	15.3355609197654	-1.21192253484473	10
PPIL6	0.299049655264449	-10.5614081439232	20
PPIL2	3.16429834921794	-9.87380031052432	2
PPIC	-7.08466172397526	1.67788611242565	3
PPIB	-9.59602425403585	-4.74134950020251	17
PPFIBP1	17.1041603443662	-0.0915003603954505	10
NDUFB7	-9.06724684336788	-5.61893812933377	17
PPARD	1.43884737454939	-8.51855104695119	2
PPA2	14.2490163614055	-4.29349941093846	5
POU3F2	-1.62846994528993	1.16559126787025	12
POU2F2	7.37340389899549	-11.5597325626203	19
POT1-AS1	13.3781382662407	-1.87477307368049	10
POP1	-0.0594237621903112	-6.62168946870061	2
