Gene	cluster
STAG3L5P-PVRIG2P-PILRB	1
RP9P	2
WASH2P	1
MIR3911	2
RPL13AP5	3
PI4KAP1	4
PFN1P2	1
NBPF8	1
ROCK1P1	1
SMG1P7	4
RRN3P3	1
GLUD1P3	4
DSTNP2	5
PPIEL	2
ACTG1P17	1
TPM3P9	1
ZNF542P	6
GOLGA2P5	3
FAM21EP	1
DPY19L2P4	3
MRPS31P5	7
GTF2IP4	1
SUGT1P3	1
RPLP0P2	3
TMEM191A	8
MIR4292	1
SBDSP1	1
MSL3P1	1
AFG3L1P	4
CFL1P1	1
NSUN5P1	1
BAG3	3
PXMP4	4
PXK	7
PUS7L	5
PUM2	5
PTX3	9
PTPRU	3
SEMA6A	7
PTPRS	10
PTPRO	10
PTPRN2	10
PTPRG	10
PTPRE	10
EIF2D	4
PMFBP1	3
SMC4	11
PTPN4	10
PTPN21	2
PTPDC1	2
PTPA	4
ZNF567	9
PTP4A2	12
TIPARP	3
PTP4A1	13
PTMA	14
PTK2B	10
ITGA6	3
MERTK	3
PTGIS	3
KCNQ1OT1	5
HNRNPC	5
PTGES2	15
PTGES	1
PTDSS2	2
PTAR1	16
FURIN	6
PSPC1	5
PSMG4	2
PSMG2	14
PSMF1	2
PSME4	5
PSME3	6
PSME2	9
PSMD5	2
PLEKHG3	7
PSMD4	17
PSMD13	2
PSMC3IP	11
TENM1	10
HS6ST2	8
PSMB5	17
PSMB4	9
KLHL35	6
PSMA3-AS1	2
GPR150	1
PSIP1	5
SELENOI	5
PRSS53	1
AP3S2	5
RAB22A	2
PRRT4	3
PRRT2	2
PRRC2A	2
TCEAL6	9
PPP5C	2
NRAS	18
PRR14	4
PRR13	9
PRPF4B	14
PRPF40A	5
PROX1	7
PROSER2	3
PIGN	5
SLC16A4	9
PRMT7	2
PRMT6	6
PRMT2	8
VANGL2	3
PLA2G12A	2
PRKRA	2
PRKD1	10
PRKCQ-AS1	7
PRKCH	2
PCMT1	14
PRKCE	10
PRKCA	10
PRKAR2B	19
PRKACB	10
PRKACA	2
PRKAB2	2
PRKAB1	6
RUNDC3B	5
PIP5K1A	19
PRELID1	15
NBPF25P	1
PRDM6	2
RFXAP	2
PRDM2	5
PRDM15	4
BRAT1	4
CAV2	3
TEX26	3
EDIL3	10
PPRC1	6
PPP4R3A	19
PPP3CB	5
CKAP5	5
PPP2R5C	5
PPP2R5A	7
PPP2R3A	5
PPP2R2B	10
PPP2R1B	3
DDRGK1	8
PPP1R3D	18
PPP1R37	4
TMEM131	5
ZNF239	9
PPP1R35	15
ST6GAL2	10
PPP1R16B	10
PPP1R13B	5
PPP1CA	9
PPM1N	1
PPM1M	1
PPM1J	3
BLVRB	9
PPM1E	10
ATG10	5
RWDD2A	9
NEO1	10
PPIL6	20
PPIL2	2
PPIC	3
PPIB	17
PPFIBP1	10
NDUFB7	17
PPARD	2
PPA2	5
POU3F2	12
POU2F2	19
POT1-AS1	10
POP1	2
BIRC2	2
POMT2	4
KLC3	1
ZNF800	2
POMP	17
PAK6	4
POMGNT1	4
POLRMT	6
POLR3GL	9
POLR3C	4
POLR2I	17
PIF1	11
POLR2G	9
POLR2C	9
MRPL39	4
POLR2B	17
CCDC47	14
ADAMTS16	20
EPHB6	19
KCTD4	21
POLR1E	9
FADD	6
HIF3A	3
FAM193B	5
VIPR2	3
POLG	4
UGT8	7
POLE	19
POLD3	2
POLD1	1
POLA2	11
POFUT1	4
PODXL2	14
PODNL1	1
PNPO	6
PNP	9
TOX3	10
KDM8	1
PNMA6A	6
ISG20L2	4
PNMA1	17
PNKP	4
PNCK	8
PMM2	2
SYNE4	3
PMF1	9
UBA1	2
PMEL	1
RANBP10	19
NDUFS5	17
PLXDC2	10
CHMP1B	4
TMEM191B	6
PAK4	4
PLS1	22
PLPPR3	23
PLPP1	5
AP5Z1	4
YTHDF1	18
PLP2	9
PLK5	24
PLK4	11
PLIN3	3
PLIN1	11
CSTF2T	6
PLEKHO2	3
PLEKHO1	3
PLEKHJ1	9
PLEKHH3	3
PLEKHH2	3
PLEKHH1	7
TPMT	6
ZCCHC8	2
PLEKHG4B	3
PLEKHG4	1
PLEKHA4	3
DGCR2	2
AVPI1	6
PLCD3	1
ARHGAP39	2
PLCB3	1
PLCB1	10
PEX11A	9
PLB1	4
PLAT	3
PLAG1	2
PLAC8L1	4
KMT5B	5
AKNA	3
ALKBH1	2
KIFAP3	10
POLR1A	2
STPG1	3
PKN1	6
GRIA2	10
PKDCC	16
PJA1	6
PTDSS1	2
PITPNM1	3
ORC2	5
PITPNC1	10
TJP1	10
PIP4K2A	10
INTS6	5
PINK1-AS	4
PCDH10	5
PIK3R4	2
PIK3IP1	6
STK35	18
PIK3CB	5
GABRQ	3
PIK3C2B	7
PIK3C2A	5
WDCP	9
PIK3AP1	25
PIH1D1	9
POU4F2	1
DHRS7B	5
ZNF821	8
PIGV	9
PIGU	19
PIGT	9
PIGS	6
PIGO	1
PIGM	4
PIGA	6
PIEZO2	7
PICALM	10
PPM1D	2
PIANP	23
AIM2	9
PHLDA1	3
SGK2	7
PHKG2	4
PARVG	1
PHGDH	11
PHF3	5
HERC6	2
PHF14	10
METTL16	2
PHEX	18
PHC3	5
PHC2	5
PHAX	6
PHACTR3	10
PGBD4	6
PGAP2	2
PGAP1	5
ARGLU1	14
PGAM1	12
PFKFB4	3
PFDN5	12
PFDN1	17
PFAS	1
PEX6	2
COPS6	17
PEX5	2
PEX3	5
PDCL	18
PEX26	2
PEX2	9
PEX11G	1
PEX11B	9
PET117	4
PET100	15
PES1	9
PER1	13
HEATR4	2
PEMT	4
PELI3	6
ATP6V0A1	14
PEF1	9
ENO4	22
PPP1R14C	2
INA	14
PDZRN3	10
SRR	9
RAB1A	5
ZNF621	4
PDXK	19
PDS5B	10
PDS5A	5
PDPN	3
PDPK1	2
PDP1	19
PTPN14	19
PDLIM2	9
PDK4	13
PDK3	5
PDIA4	9
PDGFRB	3
DIRAS2	19
PDE4DIP	5
TIPRL	2
PDE4C	4
CD47	10
SETDB1	2
TMX3	5
PDCD6	17
PDAP1	9
PCYT1A	2
MYO1B	22
NUDT22	9
PCSK1N	14
DZIP1	5
EHD1	6
ZNF254	5
PCNX2	10
PCNX1	10
PRKG1	10
HSPA5	17
RPL22	12
RAP2C	18
XRRA1	5
PCDHB4	9
PCDHB15	6
PCDHB14	6
PCDHB13	1
SERP1	14
PCDHB12	6
MTR	5
PRR14L	19
PCDHA7	1
KLF8	4
PCDHA3	1
PCDHA11	1
SPATA33	9
PCDH8	8
PCDH11X	10
NCKAP1	10
OTUD7A	10
PTPN13	10
PCBP4	3
PCBP3	10
PC	2
PBRM1	5
BCL2L2	16
PBDC1	9
ZNF222	9
PAXIP1	2
PAXBP1-AS1	4
PAX6	3
DNER	10
PAX5	3
STAT2	7
PARVB	2
PARVA	14
PARS2	6
PARPBP	11
PARP6	2
PARP4	3
PARP2	9
PARP14	3
SRRM4	10
PARP12	3
SERTAD3	6
PARN	5
PARL	2
PARD6B	4
PARD3	10
PAQR8	12
PAQR6	7
PAQR3	16
PAPSS1	5
C16orf95	2
PAOX	4
COQ3	9
PANK4	6
HCN2	7
PDE5A	22
PAN3	5
MEX3D	6
PAN2	4
PAM	10
