Gene	x	y	cluster
STAG3L5P-PVRIG2P-PILRB	-19.277912	2.6407466	0
RP9P	5.379575	-10.082503	1
WASH2P	-19.44226	2.5875797	0
MIR3911	9.394662	7.394645	2
RPL13AP5	-14.819307	6.541816	3
PI4KAP1	-14.097333	-7.8349724	4
PFN1P2	-16.614498	0.21034692	0
NBPF8	-20.679625	-5.2083063	0
ROCK1P1	-17.982368	-1.2370937	0
SMG1P7	-16.250126	-9.942687	4
RRN3P3	-14.483467	1.8700762	0
GLUD1P3	-13.5892935	-13.021341	1
DSTNP2	23.528893	-5.912196	5
PPIEL	6.722669	-9.060992	1
ACTG1P17	-18.38558	-2.0398858	0
TPM3P9	-18.040005	3.812221	0
ZNF542P	-19.472088	-6.26003	6
GOLGA2P5	-11.069123	6.8500595	2
FAM21EP	-18.40811	-2.1328075	0
DPY19L2P4	-6.8357053	-6.862904	7
MRPS31P5	-17.665234	-10.803143	4
GTF2IP4	-18.58016	-1.9402034	0
SUGT1P3	-14.407978	1.6948072	0
RPLP0P2	-8.872592	6.757746	3
TMEM191A	-6.488582	3.467249	8
MIR4292	-23.087523	-6.194619	0
SBDSP1	-18.520216	-3.5296366	0
MSL3P1	-17.665535	-2.6673384	0
AFG3L1P	-11.839188	-12.716732	4
CFL1P1	-14.766331	-9.267326	7
NSUN5P1	-12.951035	-6.52525	9
BAG3	-12.256993	11.750388	10
PXMP4	-13.740636	-10.378319	4
PXK	18.691774	7.8637466	11
PUS7L	24.554676	0.5369277	12
PUM2	22.019445	3.892126	12
PTX3	-13.679214	0.7596532	7
PTPRU	-3.1349583	10.403802	3
SEMA6A	6.5007324	12.360346	11
PTPRS	25.482454	4.6054473	12
PTPRO	26.47442	7.0302033	12
PTPRN2	25.471281	7.513225	12
PTPRG	25.098536	8.499049	12
PTPRE	20.793858	8.7093725	12
EIF2D	-15.951376	-10.621606	4
PMFBP1	-5.9777007	9.700024	8
SMC4	-20.64726	7.508722	13
PTPN4	24.321537	4.979245	12
PTPN21	6.213216	-10.23895	2
PTPDC1	12.545954	0.12798786	2
PTPA	3.2629101	0.43242854	14
ZNF567	-14.603435	-12.079929	7
PTP4A2	3.9432354	0.25211468	14
TIPARP	-8.640715	5.0414953	3
PTP4A1	-7.5549765	0.7459832	10
PTMA	0.7721086	-1.0427355	15
PTK2B	15.483365	3.0662873	16
ITGA6	-6.2658606	13.349261	3
MERTK	-8.112506	13.6493845	3
PTGIS	-9.778718	7.3612127	3
KCNQ1OT1	19.291386	5.487938	12
HNRNPC	22.353466	0.77667683	12
PTGES2	-7.0935187	-7.306121	17
PTGES	-15.130465	1.2259864	0
PTDSS2	6.690601	-6.7367706	1
PTAR1	8.152336	9.020083	18
FURIN	-12.294953	-5.980177	6
PSPC1	22.29864	3.561176	12
PSMG4	2.6386538	4.931001	19
PSMG2	17.496948	-8.709894	5
PSMF1	11.876205	-7.8232193	1
PSME4	18.816776	6.616687	12
PSME3	-10.41912	-6.1491084	6
PSME2	-9.269789	-5.876542	7
PSMD5	8.585009	-9.747644	20
PLEKHG3	1.2954963	12.484393	11
PSMD4	0.07235412	-5.9778175	20
PSMD13	2.9775064	-10.230233	20
PSMC3IP	-18.215801	4.710463	13
TENM1	17.687078	12.309152	19
HS6ST2	13.22949	11.484317	19
PSMB5	-1.5269579	-3.809869	20
PSMB4	-4.7888384	-4.020391	7
KLHL35	-14.6285	2.5414991	6
PSMA3-AS1	4.1529326	0.5574934	14
GPR150	-14.956684	-0.3911012	0
PSIP1	23.475431	-0.38904056	12
SELENOI	17.401827	-6.9516587	5
PRSS53	-15.944952	-2.9028707	0
AP3S2	11.17046	-7.0040555	21
RAB22A	10.666595	-10.6374445	1
PRRT4	-8.138217	7.307923	8
PRRT2	7.75464	-1.7549618	16
PRRC2A	3.8454401	-7.5580416	1
TCEAL6	-2.8774412	-4.80447	15
PPP5C	6.7184157	-5.7363615	1
NRAS	-22.88594	1.60335	22
PRR14	-12.419413	-6.530294	9
PRR13	-7.4981723	-2.2624059	6
PRPF4B	23.251339	-1.831615	21
PRPF40A	19.022566	-5.192311	21
PROX1	-0.8096417	10.456841	11
PROSER2	-8.150039	7.418605	3
PIGN	19.103006	-1.7986523	5
SLC16A4	-21.863398	-4.7978373	7
PRMT7	9.6312065	-6.3403263	1
PRMT6	-12.992992	-0.8816169	6
